doc_number,doc_name,category,notes
290,Environmental Site Assessment Form,F - Forms,
291,Manufacturer Certificate Compliance Form,F - Forms,
292,ROM Sample,F - Forms,
293,Report of Survey Mark Form,F - Forms,
294,Traffic Control Daily Log,F - Forms,
295,Traffic Control Daily Report Summary,F - Forms,
297,Existing Geotechnical Data Report,G - Geotechnical,
298,Geotechnical Baseline Report,G - Geotechnical,
299,Geotechnical Data Report,G - Geotechnical,
300,Geotechnical Data Report Addendum,G - Geotechnical,
301,Geotechnical Documents Limitations,G - Geotechnical,
302,Montlake WABN Condition Survey,G - Geotechnical,
303,Revised Seismic Ground Motions,G - Geotechnical,
304,Seattle Yacht Club Bulkhead Inspection,G - Geotechnical,
305,Seismic Design Technical Memorandum,G - Geotechnical,
306,Summary Previous Construction Activities,G - Geotechnical,
307,Supplemental Preliminary Engineering Memo,G - Geotechnical,
308,Test Pile Geotechnical Data Report,G - Geotechnical,
309,U-Link Moment-Thrust Capacity Calculations,G - Geotechnical,
310,Union Bay Bridge Pile Driving Info,G - Geotechnical,
311,WAB South Frame 5 Soil-Structure Modeling,G - Geotechnical,
312,WABN 24th Ave Field Reports,G - Geotechnical,
313,WABN 24th Ave Shoring Plan,G - Geotechnical,
314,WABN Change Order 44,G - Geotechnical,
315,WABN Construction Photos,G - Geotechnical,
316,WABN Geotechnical Attach F App B,G - Geotechnical,
317,WABN Geotechnical Attach F App D,G - Geotechnical,
318,WABN Geotechnical Attach F App E,G - Geotechnical,
319,WABN Geotechnical Engineering Report,G - Geotechnical,
320,WABN Geotechnical Report Addendum,G - Geotechnical,
321,WCB Geotechnical Report,G - Geotechnical,
322,West Approach Bridge Pile Driving Info,G - Geotechnical,
323,West Approach Geologic Characterization,G - Geotechnical,
324,West Approach Geologic Characterization Addendum,G - Geotechnical,
325,Westside Bike-Pedestrian Facilities Memo,G - Geotechnical,
326,Westside Montlake Lid Land Bridge Memo,G - Geotechnical,
327,Westside Stormwater Facilities Memo,G - Geotechnical,
329,Conceptual Supplemental Hydraulic Report,H - Hydraulics,
330,DIPRA Ductile Iron Pipe Supports,H - Hydraulics,
331,Drainage Maintenance Manual Plan Sheets,H - Hydraulics,
332,FB&L As-Built Hydraulic Report,H - Hydraulics,
333,Hydraulic Report Template,H - Hydraulics,
334,Program Level Hydraulic Report,H - Hydraulics,
335,SPU Client Assistance Memo 1180,H - Hydraulics,
336,Seattle Stormwater Manual,H - Hydraulics,
337,WABN Hydraulic Report,H - Hydraulics,
338,WABN Supplemental Hydraulic Report,H - Hydraulics,
340,Advanced Inspection Illumination Signal Training,"I - Illumination, Electrical & ITS",
341,Corridor Fiber Optic Communication Plan,"I - Illumination, Electrical & ITS",
342,Design of Outdoor Lighting,"I - Illumination, Electrical & ITS",
343,Illumination Design Supplement,"I - Illumination, Electrical & ITS",
344,NWR Electrical Design Practices,"I - Illumination, Electrical & ITS",
345,NWR ITS Design Requirements,"I - Illumination, Electrical & ITS",
346,NWR ITS Details,"I - Illumination, Electrical & ITS",
347,NWR Illumination Signal Details,"I - Illumination, Electrical & ITS",
348,Power System Design,"I - Illumination, Electrical & ITS",
349,SPR Electrical System Design Standard,"I - Illumination, Electrical & ITS",
350,Seattle City Light Construction Standards,"I - Illumination, Electrical & ITS",
351,Seattle City Light Material Standards,"I - Illumination, Electrical & ITS",
352,Seattle City Light Service Connection Requirements,"I - Illumination, Electrical & ITS",
353,Seattle City Light Service Standards,"I - Illumination, Electrical & ITS",
354,Seattle Electrical Code,"I - Illumination, Electrical & ITS",
355,Seattle ROW Lighting Design Guidelines,"I - Illumination, Electrical & ITS",
357,Pavement Policy,J - Pavement,
358,Pavement Project Specifications,J - Pavement,
359,WABN Pavement Design Report,J - Pavement,
361,Supplemental to Wages,K - Prevailing Wages,
362,WA Prevailing Wages King County,K - Prevailing Wages,
364,GCB 1895,L - Landscape and Urban Design,
365,Landscape Maintenance Water Use Form,L - Landscape and Urban Design,
366,Seattle Bicycle Guide Sign Practice,L - Landscape and Urban Design,
367,Seattle Design Commission Report,L - Landscape and Urban Design,
368,Seattle Parks Maintenance Utility Impact,L - Landscape and Urban Design,
369,Seattle Parks Standard Details Plans,L - Landscape and Urban Design,
370,Seattle Parks Technical Specifications,L - Landscape and Urban Design,
371,Seattle Pedestrian Wayfinding Symbols,L - Landscape and Urban Design,
372,Seattle Street Tree Manual,L - Landscape and Urban Design,
373,Seattle Tree Replacement Executive Order,L - Landscape and Urban Design,
374,UW Irrigation Design Guide,L - Landscape and Urban Design,
375,UW Technical Specifications,L - Landscape and Urban Design,
376,Urban Design Exhibits,L - Landscape and Urban Design,
378,Conceptual Plans Volume 0,M - Conceptual Plans,
379,Conceptual Plans Volume I,M - Conceptual Plans,
380,Conceptual Plans Volume II,M - Conceptual Plans,
381,Existing Bridge Demolition Plans,M - Conceptual Plans,
382,Existing Walls to Remain Plan,M - Conceptual Plans,
383,Future Four-Lane Plus Two HCT,M - Conceptual Plans,
384,Future Six-Lane Plus Two HCT,M - Conceptual Plans,
385,North Transit Facility Diagram,M - Conceptual Plans,
386,Noxious Weed Infestation Map,M - Conceptual Plans,
387,Permanent Barrier Modification Plan,M - Conceptual Plans,
388,Portage Bay Bridge Conceptual Plans,M - Conceptual Plans,
389,Sign Structure Connection Details,M - Conceptual Plans,
390,WAB Pier Layouts Clearance Requirements,M - Conceptual Plans,
391,West Approach Architectural Standards,M - Conceptual Plans,
392,Work Access Pile Restriction Plan,M - Conceptual Plans,
394,Seattle Design-Build Agreement,N - Local Agency Agreements,
395,Street Use Permit General Conditions,N - Local Agency Agreements,
396,Street Use Permit Special Conditions,N - Local Agency Agreements,
398,Design Analysis 1,O - Design Documentation,
399,Design Analysis 10,O - Design Documentation,
400,Design Analysis 12,O - Design Documentation,
401,Design Analysis 13,O - Design Documentation,
402,Design Analysis 2,O - Design Documentation,
403,Design Analysis 3 Revisions 1,O - Design Documentation,
404,Design Analysis 4,O - Design Documentation,
405,Design Analysis 5 Revisions 1,O - Design Documentation,
406,Design Analysis 6,O - Design Documentation,
407,Design Analysis 7,O - Design Documentation,
408,Design Analysis 8,O - Design Documentation,
409,Design Analysis 9,O - Design Documentation,
410,Design Analysis Decision Template,O - Design Documentation,
411,Design Approval Package,O - Design Documentation,
412,Design Decision 24th Ave E,O - Design Documentation,
413,Design Decision Direct Access Connector,O - Design Documentation,
414,Design Decision E Lake Washington Blvd,O - Design Documentation,
415,Design Decision WB Lane Reduction,O - Design Documentation,
416,Design Decision WB Off-Ramp 24th Ave,O - Design Documentation,
417,Design Decision WB Off-Ramp Montlake,O - Design Documentation,
418,Design Documentation Package Checklist,O - Design Documentation,
419,Design Parameter Template,O - Design Documentation,
420,MEF Template,O - Design Documentation,
421,MEF Worksheet,O - Design Documentation,
422,NWR Channelization Plan Checklist,O - Design Documentation,
423,PIF 1 Appendices Combined,O - Design Documentation,
424,PIF 1 Mageba Expansion Joints,O - Design Documentation,
425,Project File Checklist,O - Design Documentation,
426,Proprietary Items Memo 1,O - Design Documentation,
427,Proprietary Items Memo 1 Appendices,O - Design Documentation,
428,Proprietary Items Memo 2,O - Design Documentation,
429,Proprietary Items Memo 2 Appendices,O - Design Documentation,
430,Proprietary Items Memo 3,O - Design Documentation,
431,Proprietary Items Memo 3 Appendices,O - Design Documentation,
432,Proprietary Items Memo 4,O - Design Documentation,
433,Proprietary Items Memo 4 Appendices,O - Design Documentation,
434,Proprietary Items Memo 5,O - Design Documentation,
435,Proprietary Items Memo 5 Appendices,O - Design Documentation,
436,State Furnished Signal Equipment Attachment,O - Design Documentation,
437,State Furnished Signal Equipment Memo,O - Design Documentation,
439,Corps Permit Modification,P - Permits and Approvals,
441,NMFS Biological Opinion,P - Permits and Approvals,
442,NMFS R001,P - Permits and Approvals,
443,NMFS R002,P - Permits and Approvals,
444,NMFS R003,P - Permits and Approvals,
445,NMFS R004,P - Permits and Approvals,
446,NMFS R005,P - Permits and Approvals,
447,NMFS R006,P - Permits and Approvals,
448,Seattle Master Use Permit WAB,P - Permits and Approvals,
449,USCG Bridge Permit Amendment,P - Permits and Approvals,
450,USCG General Bridge Permit,P - Permits and Approvals,
451,USFWS Biological Opinion,P - Permits and Approvals,
452,USFWS R001,P - Permits and Approvals,
453,USFWS R002,P - Permits and Approvals,
454,USFWS R003,P - Permits and Approvals,
455,USFWS R004,P - Permits and Approvals,
456,USFWS R005,P - Permits and Approvals,
457,USFWS R006,P - Permits and Approvals,
458,USFWS R007,P - Permits and Approvals,
459,WDFW Hydraulic Project Approval,P - Permits and Approvals,
460,Water Quality Cert Amendment 1,P - Permits and Approvals,
461,Water Quality Cert Amendment 2,P - Permits and Approvals,
462,Water Quality Cert Amendment 3,P - Permits and Approvals,
463,Water Quality Cert Amendment 4,P - Permits and Approvals,
464,Water Quality Cert Amendment 5,P - Permits and Approvals,
465,Water Quality Cert Amendment 6,P - Permits and Approvals,
467,Water Quality Certification Order 9011,P - Permits and Approvals,
468,West Approach Shoreline Development Permit,P - Permits and Approvals,
470,Aquatic Easement Amendment,R - Right-of-Way,
471,Arboretum Deed,R - Right-of-Way,
472,Arboretum E Montlake Park Deed,R - Right-of-Way,
473,Foster Island Arboretum Deed,R - Right-of-Way,
474,Foster Island Easement,R - Right-of-Way,
475,Grant W-04299,R - Right-of-Way,
476,Illegal Encampments ROW,R - Right-of-Way,
477,McCurdy E Montlake Park Deed,R - Right-of-Way,
478,McCurdy E Montlake Park Deed,R - Right-of-Way,
479,McCurdy E Montlake Park Deed,R - Right-of-Way,
480,McCurdy Park Deed,R - Right-of-Way,
481,Old Canal Reserve Deed,R - Right-of-Way,
482,RUP E Montlake Park,R - Right-of-Way,
483,RUP Lake Washington Blvd,R - Right-of-Way,
484,RUP Washington Park Arboretum,R - Right-of-Way,
485,RUP Washington Park Arboretum WABN,R - Right-of-Way,
486,Reports Survey Marks Primary Monumentation,R - Right-of-Way,
487,SR 5 Record of Survey,R - Right-of-Way,
488,SR 513 Record of Survey,R - Right-of-Way,
489,SR 513 SR 520 to NE 45th ROW,R - Right-of-Way,
490,SR 520 Evergreen Point Bridge ROW,R - Right-of-Way,
491,SR 520 I-5 to Montlake ROW,R - Right-of-Way,
492,SR 520 Montlake Vicinity Deed,R - Right-of-Way,
493,SR 520 Montlake to Arboretum ROW,R - Right-of-Way,
494,SR 520 Record of Survey,R - Right-of-Way,
495,SR 520 SR 5 to 513 Record of Survey,R - Right-of-Way,
496,SR 520 SR 5 to Evergreen Point ROW,R - Right-of-Way,
497,Section 6F Record of Survey,R - Right-of-Way,
498,Sound Transit Easement Montlake,R - Right-of-Way,
499,Sound Transit Easement Old Canal Reserve,R - Right-of-Way,
500,Sound Transit Light Rail Accommodation,R - Right-of-Way,
501,Staging Areas Exhibit,R - Right-of-Way,
502,State Sales Tax Rule 170 171 Map,R - Right-of-Way,
503,TCE Construction Memo,R - Right-of-Way,
504,TCE Leigh,R - Right-of-Way,
505,WSDOT Sound Transit Airspace Lease,R - Right-of-Way,
507,Design Criteria Essential Bridges,S - Structures,
508,Existing Structural Elements Requirements,S - Structures,
509,Light Rail Ready White Paper,S - Structures,
510,Seismic Design Criteria Lid Bridges,S - Structures,
511,Seismic Isolation Design Criteria,S - Structures,
512,Sound Transit Design Criteria Manual,S - Structures,
513,Structures Project Specifications,S - Structures,
514,USCG Bridge Permit Application Guide,S - Structures,
515,Underwater Sound Levels Pile Driving,S - Structures,
516,Vessel Collision Data,S - Structures,
517,WABN Global Analysis Summary,S - Structures,
519,FHWA TMP Work Zones,T - Traffic,
520,Interchange Justification Report,T - Traffic,
521,King County Metro ITS Requirements,T - Traffic,
522,MicroSimulation Guidelines,T - Traffic,
523,Montlake Phase Traffic Operations Report,T - Traffic,
524,NCHRP Report 350,T - Traffic,
525,NWR Sign Design Practices Manual,T - Traffic,
526,NWR Signing Current Practices,T - Traffic,
527,NWR Traffic Operations Redbook,T - Traffic,
528,Preferred Alternative Traffic Operations Report,T - Traffic,
529,SDOT Discretionary Guide Signs,T - Traffic,
530,SDOT Pedestrian Mobility Work Zones,T - Traffic,
531,SDOT Sign Catalog,T - Traffic,
532,SDOT VISSIM SCOOT Deployment Memo,T - Traffic,
533,SIDRA Policy Settings,T - Traffic,
534,Signal Turn-On Checklist,T - Traffic,
535,Signing Inventory Form,T - Traffic,
536,Speed Limit Reductions Work Zones,T - Traffic,
537,State Force Work Memo 1,T - Traffic,
538,State Force Work Memo 2,T - Traffic,
539,VISSIM Confidence Calibration AM,T - Traffic,
540,VISSIM Confidence Calibration Mid,T - Traffic,
541,VISSIM Confidence Calibration PM,T - Traffic,
542,VISSIM Confidence Calibration Report,T - Traffic,
543,VISSIM Montlake Phase AM,T - Traffic,
544,VISSIM Montlake Phase Mid,T - Traffic,
545,VISSIM Montlake Phase PM,T - Traffic,
546,VISSIM Preferred Alternative AM,T - Traffic,
547,VISSIM Preferred Alternative Mid,T - Traffic,
548,VISSIM Preferred Alternative PM,T - Traffic,
549,WSDOT VISSIM Protocol,T - Traffic,
550,WSP Traffic Control Assistance,T - Traffic,
551,Work Zone Safety and Mobility,T - Traffic,
553,Metro Transit Passenger Facility Details,TF - Transit Facilities,
554,Metro Transit Passenger Facility Structural,TF - Transit Facilities,
555,Metro Transit Signing Standards Manual,TF - Transit Facilities,
556,Metro Transit Trolley Overhead Standards,TF - Transit Facilities,
557,Metro Transportation Facility Design Guidelines,TF - Transit Facilities,
559,108 Inch CSS CCTV Report,U - Utilities,
560,114 Inch CSS CCTV Inspection,U - Utilities,
561,114 Inch CSS CCTV Report,U - Utilities,
562,42 Inch CSS CCTV Inspection,U - Utilities,
563,42 Inch CSS CCTV Report,U - Utilities,
564,CSS Water Line Potholing Locations,U - Utilities,
565,CSS Water Line Potholing Results,U - Utilities,
566,CenturyLink Fiber Optic As-Built,U - Utilities,
567,CenturyLink Franchise Permits,U - Utilities,
568,Comcast Cable Television As-Built,U - Utilities,
569,Comcast Franchise Permits,U - Utilities,
570,Comcast MOU,U - Utilities,
571,FreshChoice Franchise,U - Utilities,
572,Integra Telecom Franchise Permits,U - Utilities,
573,KCWTD Design-Build Agreement,U - Utilities,
574,KCWTD Feasibility Study,U - Utilities,
575,King County Metro As-Built,U - Utilities,
576,King County Metro Design-Build Agreement,U - Utilities,
577,King County Metro Franchise Permits,U - Utilities,
578,King County Sewer Siphon As-Built,U - Utilities,
579,King County Sewer Siphon Photos,U - Utilities,
580,LTS 360 Networks Franchise Permits,U - Utilities,
581,PSE 24th Ave Franchise,U - Utilities,
582,PSE Franchise Permits,U - Utilities,
583,Puget Sound Energy Gas As-Built,U - Utilities,
584,Puget Sound Energy MOU,U - Utilities,
585,R2016 GM381 Utility Agreement,U - Utilities,
586,R2016 SAS 5573 Utility Agreement,U - Utilities,
587,R2016 SAU 5571 Utility Agreement,U - Utilities,
588,R2016 SAU 5572 Utility Agreement,U - Utilities,
589,R2016 SAU 5574 Utility Agreement,U - Utilities,
