Req ID,Source,Section,Subsection,Subsection Title,Specification,Simple Description,Relation To,Milestone,Timing/Deadline,Category,Deliverable Type,Responsibility,Notes,Due Date,Status,Status Notes,Location,WSDOT Lead,Column1
001-011,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.18(1).1,Workers' Compensation,The Design-Builder and each Related Entity shall provide industrial insurance and medical aid as required under Title 51 RCW. The Design-Builder shall maintain such insurance through the expiration of the Warranty periods described in Section 1-05.16.,Maintain workers' compensation insurance through warranty period,Through,Completion,Through Completion and warranty periods,Administrative & Financial,Insurance/Bonds,Design-Builder,Coverage includes Title 51 RCW requirements; must continue through warranty periods per Section 1-05.16; includes LHWCA and Jones Act coverage,,Not Started,,,DH,
001-012,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.18(1).2,Commercial General Liability,"The Design-Builder shall provide commercial general liability coverage (CGL), on a primary basis, for bodily injury, property damage, personal injury, and advertising injury liability written on an occurrence form that shall be no less comprehensive and no more restrictive than the coverage provided by Insurance Services Office (ISO) form CG 00 01 12 04. The Design-Builder shall maintain such insurance through the Completion Date, and through the expiration of the Warranty periods described in Section 1-05.16.",Maintain commercial general liability insurance through Completion and warranty period,Through,Completion,Through Completion Date,Administrative & Financial,Insurance/Bonds,Design-Builder,"Minimum $2M per occurrence, $4M aggregate; includes products/completed operations for minimum 3 years following Completion; ISO form CG 00 01 12 04; must continue through warranty periods",,Not Started,,,DH,
001-013,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.18(1).3,Automobile Liability,"The Design-Builder shall provide commercial automobile liability insurance covering the ownership, maintenance, or use of all owned/leased, non-owned and hired vehicles used in the performance of the Work, both on and off the Site, including loading and unloading, with limits of not less than $1,000,000 per accident, combined single limit for bodily injury and property damage liability. The Design-Builder shall maintain such insurance through Completion; provided, however, that such coverage shall be maintained for vehicles used in the performance of Warranty Work through the expiration of the Warranty periods described in Section 1-05.16.",Maintain automobile liability insurance through Completion,Through,Completion,Through Completion,Administrative & Financial,Insurance/Bonds,Design-Builder,$1M combined single limit; ISO form CA 0001 with endorsement CA9948; coverage continues for warranty work vehicles through warranty period,,Not Started,,,DH,
001-014,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.18(1).7,Builder's Risk,The Design-Builder shall procure and maintain builder's risk insurance for the Project as specified below. The insurance shall be maintained until the date of Completion; provided that Design-Builder shall not be required to maintain property insurance for any portion of the Project following transfer of control thereof to WSDOT.,Maintain builder's risk insurance until Completion,Until,Completion,Until Completion,Administrative & Financial,Insurance/Bonds,Design-Builder,"All risk coverage; minimum $40M per occurrence; includes earth movement, flood; A.M. Best Rating A-, Class X minimum; coverage ends upon transfer of control to WSDOT",,Not Started,,,DH,
001-015,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.18(1).7,Builder's Risk (Ocean Marine),"The Design-Builder may obtain separate ocean marine insurance on an ""All Risk"" basis known as ""Institute Cargo Clauses (A)"" including war, riots and strikes, covering all materials and equipment associated with the Work at full replacement value while in transit, shipment and/or moorage until the date of Completion.",Maintain ocean marine insurance for materials in transit until Completion,Until,Completion,Until Completion,Administrative & Financial,Insurance/Bonds,Design-Builder,"Optional separate coverage; Institute Cargo Clauses (A); full replacement value; covers war, riots, strikes; for materials/equipment in transit or moorage",,Not Started,,,DH,
001-016,General Provisions (RFP Chapter 1),1-07 Legal Relations and Responsibilities to the Public,1-07.18(1).11,Owners and Contractors Protective Liability Insurance,"The Design-Builder shall either include the State as a named insured under the CGL policy required above or provide owners and contractors protective (OCP) liability insurance, with an annual minimum limit of $2,000,000 per occurrence, $4,000,000 general annual aggregate, providing bodily injury and property damage liability coverage until the Completion date, as determined pursuant to Section 1-08.5(3), and maintain through the expiration of the Warranty periods described in Section 1-05.16.",Maintain OCP liability insurance until Completion and through warranty period,Until,Completion,Until Completion date,Administrative & Financial,Insurance/Bonds,Design-Builder,"Alternative to naming State on CGL; $2M per occurrence, $4M aggregate; ISO form CG 0009 with WSDOT Amendatory Endorsement CG 29 08; continues through warranty periods",,Not Started,,,DH,
001-017,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.1,Subcontracting,"On all projects, the Design-Builder shall certify to the actual amounts paid to all firms that were used as Subcontractors, lower tier subcontractors, manufacturers, regular dealers, or service providers on the Contract. This includes all Disadvantaged, Minority, Small, Veteran or Women's Business Enterprise firms. This Certification shall be submitted to the WSDOT Engineer on a monthly basis each month between Execution of the Contract and Physical Completion of the Contract using the application available at: https://wsdot.diversitycompliance.com.",Submit monthly certification of amounts paid to subcontractors and suppliers,Through,Physical Completion,Through Physical Completion,Administrative & Financial,Payments/Financial Documents,Design-Builder,Monthly certification required from Contract execution through Physical Completion; includes all DBE/MBE/SBE/VBE/WBE firms; submit via https://wsdot.diversitycompliance.com,,In Progress,,,DH,
001-018,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.3(8),As-Built Contract Schedule,"An As-Built Contract Schedule shall be submitted at Physical Completion of the Project. All activities shall have accurate start and completion dates and all associated contract values paid completely. All dates shall be consistent with dates contained in the Design-Builder's QA/QC documentation. In addition, the total of all prices in the schedule must be reconciled to the total amount paid to the Design-Builder. This As-Built Contract Schedule submittal shall include: 1. One electronic *.xer file of the As-Built Contract Schedule in accordance with Section 1-08.3(4) (USB flash drive). One letter or ledger size hard copy and electronic text searchable PDF file of a Gantt Chart showing the as-built schedule for the entire Project, in the format described in Section 1.08.3(4).",Submit As-Built Contract Schedule at Physical Completion,At,Physical Completion,At Physical Completion,Closeout/Final Records,Records,Design-Builder,Submittal includes electronic *.xer file and hard copy/PDF Gantt Chart; all dates must match QA/QC documentation; prices must reconcile to total paid,,In Progress,,,DH,
001-019,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(1).1,Notice by Design-Builder,"The Design-Builder shall provide notice to WSDOT when all of the following have occurred: 1. The Design-Builder has completed all Site Work such that WSDOT and the traveling public have full and unrestricted use and benefit of the facilities including, but not limited to mainline, ramps, roadways, City of Seattle streets, Montlake Lid facilities, trails, paths, sidewalks, transit facilities, and initial planting, from both the operational and safety standpoint, and only minor incidental Work, replacement of temporary substitute facilities, or correction or repair remains for the Physical Completion of the total Contract. 2. The Design-Builder has ensured that all Work completed to achieve Substantial Completion has been performed in accordance with the requirements of the Contract Documents. 3. The Design-Builder has ensured that the facilities may be operated without damage to the Project or any other property on or off the Project Site, and without injury to any Person. 4. The Design-Builder has obtained all design and construction approvals by Utility Owners and Utility construction Work is completed.",Complete all Site Work for full unrestricted use; ensure Contract compliance; ensure safe operation; obtain utility approvals,Prior to,Substantial Completion,Prior to Substantial Completion,Physical Work,Construction Activities,Design-Builder,"Four conditions required before providing notice of Substantial Completion: full unrestricted facility use, Contract Document compliance, safe operations capability, and utility approvals/work completion",,Complete,"MLG SL 601 RE: 1-08.5(1) Substantial Completion
WSDOT SL 0518 Notice of Substantial Completion Date - May 1, 2025",1.08.5(1).1,DH,
001-020,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(1).3,Requirements for Substantial Completion,"Substantial Completion shall be deemed to have occurred when: 1. The Design-Builder has corrected, pursuant to the provisions of Section 1-08.5(1).2 all defects, deficiencies, and deviations with respect to the Project and provides notice to WSDOT of such corrections. WSDOT will then verify that such defects, deficiencies and deviations have been completed and notify the Design-Builder in writing of its acceptance of such corrections; provided that Final Cleanup, and the items described in Section 1-08.5(2) shall not be required to be performed as a condition to Substantial Completion.",Correct all defects/deficiencies/deviations identified by WSDOT,Prior to,Substantial Completion,Prior to Substantial Completion,Physical Work,Construction Activities,Design-Builder,Must provide notice of corrections to WSDOT for verification and acceptance; Final Cleanup not required at this stage,,Complete,"WSDOT SL 0518 Notice of Substantial Completion Date - May 1, 2025",MLG0518,DH,
001-021,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(1).3,Requirements for Substantial Completion,Substantial Completion shall be deemed to have occurred when: ...2. The Design-Builder has received all applicable Governmental Approvals required to be obtained by the Design-Builder pursuant to the Contract and has completed all Work required in the applicable Government Approvals.,Receive all applicable Governmental Approvals and complete required work,Prior to,Substantial Completion,Prior to Substantial Completion,Quality & Compliance,Permits/Approvals,Design-Builder,Includes all Governmental Approvals Design-Builder responsible for obtaining and all work required in those approvals,,Complete,"WSDOT SL 0518 Notice of Substantial Completion Date - May 1, 2025",MLG0518,DH,
001-022,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(1).3,Requirements for Substantial Completion,Substantial Completion shall be deemed to have occurred when: ...3. The Design-Builder has obtained all design and construction approvals by Utility Owners and has completed all Utility Work.,Obtain utility design/construction approvals and complete all Utility Work,Prior to,Substantial Completion,Prior to Substantial Completion,Quality & Compliance,Permits/Approvals,Design-Builder,All utility approvals and utility work must be complete as condition for Substantial Completion,,Complete,"WSDOT SL 0518 Notice of Substantial Completion Date - May 1, 2025",MLG0518,DH,
001-023,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(1).3,Requirements for Substantial Completion,A Punch List for the Project to be performed after Substantial Completion has been proposed by the Design-Builder and has been agreed to by WSDOT.,Propose and agree on Punch List with WSDOT,Prior to,Substantial Completion,Prior to Substantial Completion,Physical Work,Records,Design-Builder,Punch List must be proposed by Design-Builder and agreed to by WSDOT as condition for achieving Substantial Completion,,Pending,"WSDOT SL 0518 states: ""Please provide a Punch List of Work to be performed after Substantial
Completion and before Physical Completion. This list must be agreeable to WSDOT, therefore
is required as soon as possible. ""

Weekly punchlist meeting is ongoing. Punchlist is not formally submitted each week, but it is distributed by email.",MLG0518,DH,
001-024,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(2),Physical Completion,"The Design-Builder shall achieve Physical Completion within 244 Calendar Days of Substantial Completion. Physical Completion shall be deemed to have occurred when: 1. Design-Builder has completed all construction Work, correction of any defects, deficiencies, and deviations with respect to the Project which were waived pending Physical Completion, and completion of all Punch List items.",Complete all construction work/correct defects/deficiencies/deviations/complete Punch List,Prior to,Physical Completion,Prior to Physical Completion,Physical Work,Construction Activities,Design-Builder,"Includes correction of items waived pending Physical Completion and all Punch List items from Substantial Completion; Modified by CO 189 (08/29/25): Extended from original 120 Calendar Days to 244 Calendar Days after Substantial Completion (+124 Calendar Days extension); timing change only, no change to Physical Completion definition or requirements",,In Progress,,,DH,
001-025,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(2),Physical Completion,Physical Completion shall be deemed to have occurred when: ...2. Design-Builder has satisfied all conditions of acceptance by Utility Owners and received acceptance from Utility Owners.,Satisfy utility acceptance conditions and receive utility acceptance,Prior to,Physical Completion,Prior to Physical Completion,Quality & Compliance,Permits/Approvals,Design-Builder,Required as condition for achieving Physical Completion,,In Progress,,,DH,
001-026,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(2),Physical Completion,Physical Completion shall be deemed to have occurred when: ...3. Design-Builder has satisfied all requirements regarding Final Cleanup pursuant to Section 1-04.11.,Complete Final Cleanup per Section 1-04.11,Prior to,Physical Completion,Prior to Physical Completion,Physical Work,Construction Activities,Design-Builder,Must satisfy all Final Cleanup requirements in Section 1-04.11 as condition for Physical Completion,,In Progress,,,DH,
001-027,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(2),Physical Completion,Physical Completion shall be deemed to have occurred when: ...4. Design-Builder has furnished the Design Documentation Package and Project File in compliance with TR Section 2.12 Project Documentation.,Furnish Design Documentation Package and Project File,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Design Documents/Calculations,Design-Builder,Must comply with TR Section 2.12 Project Documentation; required as condition for achieving Physical Completion,,In Progress,,,DH,
001-028,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(3),Completion,The following events must occur before the Completion Date can be established: 1. The Work on the Project must be complete pursuant to the Contract Documents.,Complete all Work on the Project per Contract Documents,Prior to,Completion,Prior to Completion,Physical Work,Construction Activities,Design-Builder,All project work must be complete pursuant to Contract Documents as condition for Completion,,Not Started,,,DH,
001-029,General Provisions (RFP Chapter 1),1-08 Prosecution and Progress,1-08.5(3),Completion,The following events must occur before the Completion Date can be established: ...2. The Design-Builder must furnish all documentation required by the Contract and required by law.,Furnish all documentation required by Contract and law,Prior to,Completion,Prior to Completion,Closeout/Final Records,Records,Design-Builder,All contract-required and legally-required documentation must be furnished as condition for Completion,,Not Started,,,DH,
001-030,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.9(2),Payment,"Prior to physical completion, the Design-Builder shall submit a Type 1 Working Drawing designating who will sign the FCVC, including their full name, email address, and phone number. The designee shall be an authorized signer in accordance with Standard Specifications Section 1-02.1 (Appendix B2).",Submit Type 1 Working Drawing designating FCVC signer,Prior to,Physical Completion,Prior to Physical Completion,Administrative & Financial,Records,Design-Builder,"Must include full name, email, phone number; designee must be authorized signer per Section 1-02.1; found via milestone trigger",,In Progress,,,DH,
001-031,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.9(2),Payment,"Upon Completion and after Final Inspection (Section 1-05.11), the amount due the Design-Builder under the Contract will be paid based upon the final estimate made by WSDOT and presentation of a Final Contract Voucher Certification signed by the Design-Builder.",Present signed Final Contract Voucher Certification,Upon,Completion,Upon Completion,Administrative & Financial,Affidavits/Legal Documents,Design-Builder,Required after Final Inspection per Section 1-05.11; signature establishes Final Acceptance Date; found via milestone trigger,,Not Started,,,DH,
001-032,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.9(3),Retainage,"Release of the retainage will be made 60 Calendar Days following the Completion Date (pursuant to RCW 39.12, and RCW 60.28) provided the following conditions are met: 1. On contracts totaling more than $35,000, a release has been obtained from the Washington State Department of Revenue.",Obtain release from Washington State Department of Revenue,Prior to,Handover,Prior to retainage release (60 days after Completion Date),Administrative & Financial,Permits/Approvals,Design-Builder,"Applies to contracts over $35,000; required for retainage release; found via milestone trigger ""following Completion Date""",,Not Started,,,DH,
001-033,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.9(3),Retainage,"Release of the retainage will be made 60 Calendar Days following the Completion Date (pursuant to RCW 39.12, and RCW 60.28) provided the following conditions are met: 2. Affidavits of Wages Paid for the Design-Builder and all Subcontractors are on file with WSDOT (RCW 39.12.040).",File Affidavits of Wages Paid for Design-Builder and all Subcontractors,Prior to,Handover,Prior to retainage release (60 days after Completion Date),Administrative & Financial,Affidavits/Legal Documents,Design-Builder,"Per RCW 39.12.040; required for retainage release; found via milestone trigger ""following Completion Date""",,Not Started,,,DH,
001-034,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.9(3),Retainage,"Release of the retainage will be made 60 Calendar Days following the Completion Date (pursuant to RCW 39.12, and RCW 60.28) provided the following conditions are met: 3. A certificate of Payment of Contributions Penalties and Interest on Public Work Contract is received from the Washington State Employment Security Department.",Receive certificate from Washington State Employment Security Department,Prior to,Handover,Prior to retainage release (60 days after Completion Date),Administrative & Financial,Warranties & Certifications,Design-Builder,"Certificate of Payment of Contributions Penalties and Interest; required for retainage release; found via milestone trigger ""following Completion Date""",,Not Started,,,DH,
001-035,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.9(3),Retainage,"Release of the retainage will be made 60 Calendar Days following the Completion Date (pursuant to RCW 39.12, and RCW 60.28) provided the following conditions are met: 4. Washington State Department of Labor & Industries (per Section 1-07.10) shows the Design-Builder is current with payments of industrial insurance and medical aid premiums.",Show current with industrial insurance and medical aid premium payments,Prior to,Handover,Prior to retainage release (60 days after Completion Date),Administrative & Financial,Warranties & Certifications,Design-Builder,"Verification from WA Dept of Labor & Industries per Section 1-07.10; required for retainage release; found via milestone trigger ""following Completion Date""",,Not Started,,,DH,
001-036,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.9(3),Retainage,"Release of the retainage will be made 60 Calendar Days following the Completion Date (pursuant to RCW 39.12, and RCW 60.28) provided the following conditions are met: 5. All claims, as provided by law, filed against the retainage have been resolved.",Resolve all claims filed against retainage,Prior to,Handover,Prior to retainage release (60 days after Completion Date),Administrative & Financial,Affidavits/Legal Documents,Design-Builder,"All legal claims against retainage must be resolved; required for retainage release; found via milestone trigger ""following Completion Date""",,Not Started,,,DH,
001-037,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.11(2),Claims,It will be the responsibility of the Design-Builder to keep full and complete records of the costs and additional time incurred for any alleged claim. The Design-Builder shall permit WSDOT to have access to those records and any other records as may be required by WSDOT to determine the facts or contentions involved in the claim. The Design-Builder shall retain those records for a period of not less than three years after Final Acceptance.,Retain claim records for 3 years after Final Acceptance,For,Handover,For 3 years after Final Acceptance,Administrative & Financial,Records,Design-Builder,Must keep full and complete records of costs and time for any alleged claim; must permit WSDOT access; ongoing post-completion obligation; found via milestone trigger,,Not Started,,,DH,
001-038,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.12(1),General,"The Design-Builder's wage, payroll, and cost records on this Contract shall be open to inspection or audit by representatives of WSDOT during the life of the Contract and for a period of not less than three years after the date of Final Acceptance. The Design-Builder shall retain these records for that period. The Design-Builder shall also guarantee that the wage, payroll, and cost records of all Subcontractors and all lower tier Subcontractors shall be retained and open to similar inspection or audit for the same period of time.",Retain and provide access to wage payroll and cost records for 3 years after Final Acceptance,For,Handover,For 3 years after Final Acceptance,Administrative & Financial,Records,Design-Builder,Must retain and provide audit access to all wage payroll cost records for Design-Builder and all Subcontractors; ongoing post-completion obligation; found via milestone trigger,,Not Started,,,DH,
001-039,General Provisions (RFP Chapter 1),1-09 Measurement and Payment,1-09.12(1),General,"If any litigation, claim, or audit arising out of, in connection with, or related to this Contract is initiated, the wage, payroll, and cost records shall be retained until such litigation, claim, or audit involving the records is completed.",Retain records until litigation claim or audit is completed,Until,Handover,Until litigation/claim/audit complete,Administrative & Financial,Records,Design-Builder,Extended retention requirement if litigation/claims occur; ongoing post-completion obligation; found via milestone trigger,,Not Started,,,DH,
002-001,Technical Requirements (RFP Chapter 2),2.1 General Information,2.1.4.1.2,WSDOT Field Office Buildings,"The WSDOT Field Office Buildings shall be maintained 30 Calendar Days after NTP, until 120 Calendar Days after Physical Completion of the Project.",Maintain WSDOT field office buildings including electrical mechanical plumbing systems,Until,Physical Completion,Until 120 Calendar Days after Physical Completion,Operations & Maintenance,Service/Maintenance,Design-Builder,Maintenance responsibility ends 120 days after Physical Completion,,In Progress,,,DH,
002-002,Technical Requirements (RFP Chapter 2),2.1 General Information,2.1.4.1.2,WSDOT Field Office Buildings,"The WSDOT Peninsula shall be fully vacated by the Design-Builder and turned over to WSDOT by December 15, 2023. This includes removal of all facilities and completion of all site restoration Work related to the Design-Builder's Project office, the WSDOT Field Office, and all other areas of the WSDOT Peninsula.",Vacate WSDOT Peninsula and complete site restoration,By,Handover,By December 15 2023,Physical Work,Construction Activities,Design-Builder,WSDOT Field Office buildings remain after Completion; found via turnover keyword,,Due,KW - not resolved - NCI 384 pertains only to the maintanenc of the electrical systems at the Pen Yard,GRA-NCI-00384,DH,
002-003,Technical Requirements (RFP Chapter 2),2.1 General Information,2.1.4.1.2,WSDOT Temporary Office Facilities,"The Design-Builder shall assume payment for the water and sewer changes from June 1, 2019 and continue to be responsible for the bill until 120 Calendar Days after Physical Completion of the Project.",Pay water and sewer bills until 120 days after Physical Completion,Until,Physical Completion,Until 120 Calendar Days after Physical Completion,Administrative & Financial,Payments/Financial Documents,Design-Builder,"Payment responsibility from June 1, 2019 through 120 days after PC; milestone trigger: 'until...after Physical Completion'",,In Progress,,,DH,
002-004,Technical Requirements (RFP Chapter 2),2.1 General Information,2.1.4.3.1.1,Project Scheduler,The Project Scheduler shall be full time and co-located on-Site on the Project from NTP to Physical Completion.,Maintain full-time on-site Project Scheduler through Physical Completion,Until,Physical Completion,Until Physical Completion,Administrative & Financial,Service/Maintenance,Design-Builder,Full-time co-located position from NTP to Physical Completion; milestone trigger: 'until Physical Completion',,In Progress,,,DH,
002-005,Technical Requirements (RFP Chapter 2),2.1 General Information,2.1.5.7.4.3,Project Document Control System at Completion,"Prior to Completion of the Project, a full and complete backup of the document control system shall be delivered to WSDOT. This backup shall include all documents in electronic format. A copy of the document control system software in the version that the electronic documents and databases were created in shall also be delivered.",Deliver full backup of document control system with all documents and software,Prior to,Completion,Prior to Completion,Closeout/Final Records,Project Documentation Package,Design-Builder,Includes software version used to create documents; Completion milestone trigger,,Not Started,,,DH,
