Doc_Number,Document_Name,Contract_Section,Category,Review_Status,Notes,Filename,Appendix_Number,Priority,Document_Type,File_Type,Size_MB,Modified_Date,Full_Path
875,176_PLB Girder Paint Modification (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 176 PLB Girder Paint Modification - signed.pdf,CO 176,CRITICAL,Change Orders,.PDF,0.25,2024-09-13,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/176_PLB Girder Paint Modification (Executed)/Executed CO (Final Docs)/C9015 CO 176 PLB Girder Paint Modification - signed.pdf
876,177_City Street Long Term Closure (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 177 City Street Long Term Closures - signed.pdf,CO 177,CRITICAL,Change Orders,.PDF,0.25,2024-10-09,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/177_City Street Long Term Closure (Executed)/Executed CO (Final Docs)/C9015 CO 177 City Street Long Term Closures - signed.pdf
877,178_Multiple Issue Reso No. 8-2024,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 178 Multiple Issue Reso No. 8-2024 - signed.pdf,CO 178,CRITICAL,Change Orders,.PDF,0.2,2024-12-24,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/178_Multiple Issue Reso No. 8-2024/Executed CO (Final Docs)/C9015 CO 178 Multiple Issue Reso No. 8-2024 - signed.pdf
878,179_Transit Canopy Paint Spec (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 179 Transit Canopy Paint Spec - signed.pdf,CO 179,CRITICAL,Change Orders,.PDF,0.27,2024-10-17,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/179_Transit Canopy Paint Spec (Executed)/Executed CO (Final Docs)/C9015 CO 179 Transit Canopy Paint Spec - signed.pdf
879,180_Multiple Issue Reso No. 9-2024,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 180 Multiple Issue Reso No. 9-2024 - signed.pdf,CO 180,CRITICAL,Change Orders,.PDF,1.16,2025-04-15,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/180_Multiple Issue Reso No. 9-2024/Executed CO (Final Docs)/C9015 CO 180 Multiple Issue Reso No. 9-2024 - signed.pdf
881,182_Sign Bridge No. 4 Modifications,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 182 Sign Bridge 4 Modifications - signed.pdf,CO 182,CRITICAL,Change Orders,.PDF,1.77,2025-02-21,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/182_Sign Bridge No. 4 Modifications/Executed CO (Final Docs)/C9015 CO 182 Sign Bridge 4 Modifications - signed.pdf
882,183_VP Candidate Motorcade,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 183 VP Candidate Motorcade - signed.pdf,CO 183,CRITICAL,Change Orders,.PDF,0.2,2025-02-10,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/183_VP Candidate Motorcade/Executed CO (Final Docs)/C9015 CO 183 VP Candidate Motorcade - signed.pdf
883,184_SRP Design Modifications,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 184 SRP Design Modifications - signed.pdf,CO 184,CRITICAL,Change Orders,.PDF,0.29,2025-03-11,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/184_SRP Design Modifications/Executed CO (Final Docs)/C9015 CO 184 SRP Design Modifications - signed.pdf
884,185_Multiple Issue Reso No. 10-2025,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 185 Multiple Issue Reso No. 10-2025 - signed.pdf,CO 185,CRITICAL,Change Orders,.PDF,0.5,2025-05-08,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/185_Multiple Issue Reso No. 10-2025/Executed CO (Final Docs)/C9015 CO 185 Multiple Issue Reso No. 10-2025 - signed.pdf
885,186_Multiple Issue Reso No. 11-2025,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 186 Multiple Issue Reso No. 11-2025 - signed.pdf,CO 186,CRITICAL,Change Orders,.PDF,0.5,2025-05-08,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/186_Multiple Issue Reso No. 11-2025/Executed CO (Final Docs)/C9015 CO 186 Multiple Issue Reso No. 11-2025 - signed.pdf
888,189_Physical Completion Added CD,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO 189 Physical Completion Added CD - signed.pdf,CO 189,CRITICAL,Change Orders,.PDF,0.47,2025-10-10,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/189_Physical Completion Added CD/Executed CO (Final Docs)/C9015 CO 189 Physical Completion Added CD - signed.pdf
880,181_POTUS Motorcade,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Manually reviewed for closeout requirements.,C9015 CO181 POTUS Motorcade - signed.pdf,CO 181,CRITICAL,Change Orders,.PDF,0.22,2024-11-19,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/181_POTUS Motorcade/Executed CO (Final Docs)/C9015 CO181 POTUS Motorcade - signed.pdf
886,187_SRP Over Ex. Swr. Mod - Const,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,CO 187 - Folder exists but no signed/executed PDF found. Manually reviewed for closeout requirements.,CO 187 - 187_SRP Over Ex. Swr. Mod - Const,CO 187,CRITICAL,Change Orders,MISSING,0.0,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/187_SRP Over Ex. Swr. Mod - Const
887,188_Multiple Issue Reso No. 12-2025,1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,CO 188 - Folder exists but no signed/executed PDF found. Manually reviewed for closeout requirements.,CO 188 - 188_Multiple Issue Reso No. 12-2025,CO 188,CRITICAL,Change Orders,MISSING,0.0,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/188_Multiple Issue Reso No. 12-2025
003,Design-Build Contract,2. Design-Build Contract (Contract Form),2 - Contract Form,Needs Review,May contain Exhibit B (WSDOT-Identified Betterments),Executed Contract Form.pdf,,CRITICAL,Contract Documents,.PDF,3.38,2019-10-29,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Design-Build Contract/Executed Contract Form.pdf
001,General Provisions (RFP Chapter 1),4. General Provisions (RFP Chapter 1),4 - General Provisions (Ch 1),Reviewed,Reviewed - source of closeout requirements CSV. Contains incorporated COs 001-165.,Chapter 1.docx,,CRITICAL,Contract Documents,.DOCX,0.56,2023-04-27,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Chapter 1.docx
002,Technical Requirements (RFP Chapter 2),6. Technical Requirements (RFP Chapter 2),6 - Technical Requirements (Ch 2),Reviewed,Reviewed - source of closeout requirements CSV. Contains incorporated COs 001-165.,Chapter Two.docx,,CRITICAL,Contract Documents,.DOCX,1.53,2025-04-29,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Chapter Two.docx
005,Design-Builder's Proposal (3 volumes),3. WSDOT-Identified Betterments (Exhibit B),8 - Design-Builder Proposal,Needs Review,"Contains Appendices A, B, C - EXHIBIT B (Betterments) is here",VOLUME 2 OF 3 APPENDICES A B C GRAHAM SR 520 Montlake to Lake Washington IC and Bridge Replacement.pdf,Volume 2,CRITICAL,Contract Documents,.PDF,54.13,2019-10-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Design-Builder's Proposal/PDF DB Proposal/VOLUME 2 OF 3 APPENDICES A B C GRAHAM SR 520 Montlake to Lake Washington IC and Bridge Replacement.pdf
819,"120_SPU PRS Pipe Conn - Const Only (PCO 244, 253) (Executed)",1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 C120 SPU PRS Pipe Conn - Const Only - signed.pdf,CO 120,HIGH,Change Orders,.PDF,0.12,2021-12-01,"/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/120_SPU PRS Pipe Conn - Const Only (PCO 244, 253) (Executed)/Executed CO (Final Docs)/C9015 C120 SPU PRS Pipe Conn - Const Only - signed.pdf"
799,100_ML Plaza Maintenance Access (PCO 179) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 100 ML Plaza Maintenance Access - signed.pdf,CO 100,HIGH,Change Orders,.PDF,1.5,2021-07-26,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 076-100/100_ML Plaza Maintenance Access (PCO 179) (Executed)/Executed CO (Final Docs)/C9015 CO 100 ML Plaza Maintenance Access - signed.pdf
800,101_Maint Veh Turnaround on RSUP (PCO 197) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 101 Maint. Veh. Turnaround on RSUP - signed.pdf,CO 101,HIGH,Change Orders,.PDF,0.14,2021-08-24,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/101_Maint Veh Turnaround on RSUP (PCO 197) (Executed)/Executed CO (Final Docs)/C9015 CO 101 Maint. Veh. Turnaround on RSUP - signed.pdf
801,102_Pavement Section on Maint Path (PCO 198) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 102 Maint Path Pavement Sect Mods - signed.pdf,CO 102,HIGH,Change Orders,.PDF,0.69,2021-12-17,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/102_Pavement Section on Maint Path (PCO 198) (Executed)/Executed CO (Final Docs)/C9015 CO 102 Maint Path Pavement Sect Mods - signed.pdf
802,103_Dowels in SW's at Lid Edges (PCO 207) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 103 Dowels in SW's at Lid Edges - signed.pdf,CO 103,HIGH,Change Orders,.PDF,0.7,2021-09-14,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/103_Dowels in SW's at Lid Edges (PCO 207) (Executed)/Executed CO (Final Docs)/C9015 CO 103 Dowels in SW's at Lid Edges - signed.pdf
803,104_COVID - Sanitation Extension (PCO 236) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 104 COVID - Sanitation Extension - signed.pdf,CO 104,HIGH,Change Orders,.PDF,0.15,2021-10-19,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/104_COVID - Sanitation Extension (PCO 236) (Executed)/Executed CO (Final Docs)/C9015 CO 104 COVID - Sanitation Extension - signed.pdf
804,105_Peninsula Gate Requirements (PCO 109) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 105 Peninsula Gate Requirements_signed.pdf,CO 105,HIGH,Change Orders,.PDF,0.13,2021-07-12,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/105_Peninsula Gate Requirements (PCO 109) (Executed)/Executed CO (Final Docs)/C9015 CO 105 Peninsula Gate Requirements_signed.pdf
805,106_Elim Brdg Drg Pipe Paint Rqmt (PCO 138) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 106 Brdg Drg Pipe Paint Mods - signed.pdf,CO 106,HIGH,Change Orders,.PDF,0.12,2021-08-24,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/106_Elim Brdg Drg Pipe Paint Rqmt (PCO 138) (Executed)/Executed CO (Final Docs)/C9015 CO 106 Brdg Drg Pipe Paint Mods - signed.pdf
807,108_Seattle Design Comm Workshop (PCO 209) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 108_Seattle Design Comm Workshop - signed.pdf,CO 108,HIGH,Change Orders,.PDF,0.13,2021-08-02,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/108_Seattle Design Comm Workshop (PCO 209) (Executed)/Executed CO (Final Docs)/C9015 CO 108_Seattle Design Comm Workshop - signed.pdf
808,109_Fdn & Conduit for Fut PBB Ramp (PCO 211) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 109 Fut Ramp Meter Eqpt for PBB - signed.pdf,CO 109,HIGH,Change Orders,.PDF,0.89,2021-08-24,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/109_Fdn & Conduit for Fut PBB Ramp (PCO 211) (Executed)/Executed CO (Final Docs)/C9015 CO 109 Fut Ramp Meter Eqpt for PBB - signed.pdf
809,110_Temp DWXI On-Ramp at NOAA Prop (PCO 215) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 110 Temp DWXI On-Ramp at NOAA Prop - signed.pdf,CO 110,HIGH,Change Orders,.PDF,0.14,2021-07-28,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/110_Temp DWXI On-Ramp at NOAA Prop (PCO 215) (Executed)/Executed CO (Final Docs)/C9015 CO 110 Temp DWXI On-Ramp at NOAA Prop - signed.pdf
810,111_SPU 54-inch TM Shutdown Mods (PCO 212) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 111 SPU 54-inch TM Shutdown Mods. - signed.pdf,CO 111,HIGH,Change Orders,.PDF,0.33,2021-08-24,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/111_SPU 54-inch TM Shutdown Mods (PCO 212) (Executed)/Executed CO (Final Docs)/C9015 CO 111 SPU 54-inch TM Shutdown Mods. - signed.pdf
811,112_SDOT Chan Changes on E ML PL E (PCO 239) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 112 SDOT Chan Changes on E ML Pl E - signed.pdf,CO 112,HIGH,Change Orders,.PDF,0.96,2021-10-19,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/112_SDOT Chan Changes on E ML PL E (PCO 239) (Executed)/Executed CO (Final Docs)/C9015 CO 112 SDOT Chan Changes on E ML Pl E - signed.pdf
812,113_SPU PRV Conn - Design Only (PCO 173) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 113 SPU PRS Pipe Conn - Design Only - signed.pdf,CO 113,HIGH,Change Orders,.PDF,0.13,2021-10-27,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/113_SPU PRV Conn - Design Only (PCO 173) (Executed)/Executed CO (Final Docs)/C9015 CO 113 SPU PRS Pipe Conn - Design Only - signed.pdf
813,114_Add'l Interpretive Signage (PCO 229) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 114 Add'l Interpretive Signage - signed.pdf,CO 114,HIGH,Change Orders,.PDF,0.11,2021-11-11,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/114_Add'l Interpretive Signage (PCO 229) (Executed)/Executed CO (Final Docs)/C9015 CO 114 Add'l Interpretive Signage - signed.pdf
814,115_Elimination of CO 95 Work (PCO 247) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 115 Elimination of CO 95 Work - signed.pdf,CO 115,HIGH,Change Orders,.PDF,0.13,2021-10-19,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/115_Elimination of CO 95 Work (PCO 247) (Executed)/Executed CO (Final Docs)/C9015 CO 115 Elimination of CO 95 Work - signed.pdf
815,116_Centurylink Agreement (PCO 243) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 116 CenturyLink Reloc Agreement - signed.pdf,CO 116,HIGH,Change Orders,.PDF,0.78,2022-04-01,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/116_Centurylink Agreement (PCO 243) (Executed)/Executed CO (Final Docs)/C9015 CO 116 CenturyLink Reloc Agreement - signed.pdf
816,117_Lane Closure Modifications (PCO 249) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 117 Lane Closure Modifications - signed.pdf,CO 117,HIGH,Change Orders,.PDF,0.13,2021-10-19,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/117_Lane Closure Modifications (PCO 249) (Executed)/Executed CO (Final Docs)/C9015 CO 117 Lane Closure Modifications - signed.pdf
817,118_FA Montlake Market Remediation (PCO 225) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 118 FA Montlake Market Remediation - signed.pdf,CO 118,HIGH,Change Orders,.PDF,0.34,2022-01-04,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/118_FA Montlake Market Remediation (PCO 225) (Executed)/Executed CO (Final Docs)/C9015 CO 118 FA Montlake Market Remediation - signed.pdf
818,119_NWR - SR 513 Comm & Htl Offers (PCO 246) (Executed),1. Change Orders and Supplemental Agreements,1 - Change Orders,Reviewed,Incorporated into RFP Ch 1 & 2 (reviewed).,C9015 CO 119 NWR - SR 513 Comm & Htl Offers - signed.pdf,CO 119,HIGH,Change Orders,.PDF,0.14,2021-12-13,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/119_NWR - SR 513 Comm & Htl Offers (PCO 246) (Executed)/Executed CO (Final Docs)/C9015 CO 119 NWR - SR 513 Comm & Htl Offers - signed.pdf
