Doc_Number,Document_Name,Full_Name,Category,Document_Type,Contract_Section,Review_Status,Notes,Files_Count,Representative_File,File_Path
65,FB&L As-Built Plans Volume 07,Floating Bridge and Landings As-Built Plans Volume 07,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.9.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.9/Appendix A-B2.A.9.pdf
66,FB&L As-Built Plans Volume 07a,Floating Bridge and Landings As-Built Plans Volume 07a,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2A.10 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.10/A-B2A.10 Cover Sheet.pdf
67,FB&L As-Built Plans Volume 08,Floating Bridge and Landings As-Built Plans Volume 08,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.11.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.11/Appendix A-B2.A.11.pdf
68,FB&L As-Built Plans Volume 09,Floating Bridge and Landings As-Built Plans Volume 09,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.12 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.12/A-B2.A.12 Cover Sheet.pdf
69,FB&L As-Built Plans Volume 10,Floating Bridge and Landings As-Built Plans Volume 10,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.13 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.13/A-B2.A.13 Cover Sheet.pdf
70,FB&L As-Built Plans Volume 11,Floating Bridge and Landings As-Built Plans Volume 11,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.14 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.14/A-B2.A.14 Cover Sheet.pdf
71,FB&L As-Built Plans Volume 12,Floating Bridge and Landings As-Built Plans Volume 12,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.15 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.15/A-B2.A.15 Cover Sheet.pdf
72,FB&L As-Built Plans Volume 13,Floating Bridge and Landings As-Built Plans Volume 13,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.16.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.16/Appendix A-B2.A.16.pdf
73,FB&L As-Built Plans Volume 14a,Floating Bridge and Landings As-Built Plans Volume 14a,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.17 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.17/A-B2.A.17 Cover Sheet.pdf
74,FB&L As-Built Plans Volume 14b,Floating Bridge and Landings As-Built Plans Volume 14b,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.18.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.18/Appendix A-B2.A.18.pdf
75,FB&L As-Built Plans Volume 14c,Floating Bridge and Landings As-Built Plans Volume 14c,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.19.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.19/Appendix A-B2.A.19.pdf
76,FB&L As-Built Plans Volume 14d,Floating Bridge and Landings As-Built Plans Volume 14d,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2A.20 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.20/A-B2A.20 Cover Sheet.pdf
77,FB&L As-Built Plans Volume 15,Floating Bridge and Landings As-Built Plans Volume 15,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.21 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.21/A-B2.A.21 Cover Sheet.pdf
78,FB&L As-Built Plans Volume 15a,Floating Bridge and Landings As-Built Plans Volume 15a,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.22.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.22/Appendix A-B2.A.22.pdf
79,FB&L As-Built Plans Volume 16,Floating Bridge and Landings As-Built Plans Volume 16,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.23.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.23/Appendix A-B2.A.23.pdf
80,FB&L As-Built Plans Volume 17,Floating Bridge and Landings As-Built Plans Volume 17,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.24.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.24/Appendix A-B2.A.24.pdf
81,FB&L As-Built Plans Volume 18,Floating Bridge and Landings As-Built Plans Volume 18,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.25.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.25/Appendix A-B2.A.25.pdf
82,FB&L As-Built Plans Volume 19,Floating Bridge and Landings As-Built Plans Volume 19,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.26 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.26/A-B2.A.26 Cover Sheet.pdf
83,Montlake Blvd & 24th Ave Bridges,"Montlake Boulevard & 24th Avenue, WSDOT Br. No. 513/10 & 520/5",A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
84,Montlake Property As-Builts,Montlake Property As-Builts,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
85,SR 520 Ramps Over Arboretum,"SR 520 Ramps Over Arboretum, WSDOT Br. No. 520/6N-E & 520/6A",A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
86,Sound Transit Horizontal Vertical Control,Sound Transit Horizontal and Vertical Control,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
87,Sound Transit ROW Plans,Sound Transit Right of Way Plans,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
88,Sound Transit Tunnel Plan Profile,Sound Transit Tunnel Plan and Profile,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
89,U220 Basis of Design Report,Basis of Design Report U220 - Final,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
90,U220 Conformed Specifications,U220 Conformed Specifications,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
91,U220 Final Calcs Tunnels,U220 Final Calcs Tunnels,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
92,U220 GBR IFC,U220 GBR IFC,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
93,U220 Precast Segmental Tunnel Lining Design,U220-CRE-00524 317416-007.002 1.05 D.1 Precast Segmental Tunnel Lining - Design Statement Rev 1 Contractor Redesign,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
94,U220 TBM Tunnels Final As-Builts,U220 TBM Tunnels Final As-Builts- Half,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
95,U220 TBM Tunnels IFC Part 1,U220 TBM Tunnels IFC 1 of 2,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
96,U220 TBM Tunnels IFC Part 2,U220 TBM Tunnels IFC 2 of 2,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
97,Union Bay Bridge,"Union Bay Bridge, WSDOT Br. No. 520/6",A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
98,WABN As-Built Plans Volume 01,WABN As-Built Plans Volume 01,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.1.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.1/Appendix A-B2.A.1.pdf
99,WABN As-Built Plans Volume 02,WABN As-Built Plans Volume 02,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.2.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.2/Appendix A-B2.A.2.pdf
100,WABN As-Built Plans Volume 03,WABN As-Built Plans Volume 03,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.3 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.3/A-B2.A.3 Cover Sheet.pdf
101,WABN As-Built Plans Volume 04,WABN As-Built Plans Volume 04,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.4 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.4/A-B2.A.4 Cover Sheet.pdf
102,WABN As-Built Plans Volume 05,WABN As-Built Plans Volume 05,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.5 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.5/A-B2.A.5 Cover Sheet.pdf
103,WABN As-Built Plans Volume 06,WABN As-Built Plans Volume 06,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.6.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.6/Appendix A-B2.A.6.pdf
104,WABN As-Built Plans Volume 07,WABN As-Built Plans Volume 07,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.9.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.9/Appendix A-B2.A.9.pdf
105,WABN As-Built Plans Volume 08,WABN As-Built Plans Volume 08,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B2.A.11.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.11/Appendix A-B2.A.11.pdf
106,WABN As-Built Plans Volume 09,WABN As-Built Plans Volume 09,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.12 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.12/A-B2.A.12 Cover Sheet.pdf
107,WABN As-Built Plans Volume 10,WABN As-Built Plans Volume 10,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B2.A.13 Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B2/Appendix A-B2.A/Appendix A-B2.A.13/A-B2.A.13 Cover Sheet.pdf
108,WABN Calculations,WABN Calculations,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,0,,
109,WABN Construction Contract Plans,"Construction Contract Plans - SR 520 Montlake to Evergreen Pt. Bridge West Approach Bridge North, 24th Ave. Bridge Extension & Br. No. 520/6 Widening",A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B1.B Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.B/A-B1.B Cover Sheet.pdf
110,WABN Construction Contract Provisions,"Construction Contract Provisions - SR 520 Montlake to Evergreen Pt. Bridge West Approach Bridge North, 24th Ave. Bridge Extension & Br. No. 520/6 Widening",A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B1.B Cover Sheet.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.B/A-B1.B Cover Sheet.pdf
111,WABN DCRs & IDRs Part 1,WABN DCRs & IDRs Part 1,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B1.G.1.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.G/Appendix A-B1.G.1/A-B1.G.1.pdf
112,WABN DCRs & IDRs Part 2,WABN DCRs & IDRs Part 2,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,A-B1.G.2.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.G/Appendix A-B1.G.2/A-B1.G.2.pdf
113,WABN Disc Bearings,West Approach Bridge North (WABN) Disc Bearings,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,WABN Disc Bearings.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.B/WABN Disc Bearings.pdf
114,WABN Isolation Bearings,West Approach Bridge North (WABN) Isolation Bearings,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,WABN Isolation Bearings.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.C/WABN Isolation Bearings.pdf
115,WABN RFI Log,WABN RFI Log,A-B - As-Built Plans and Construction,Appendix,7. RFP Appendices (Contract Documents),Not Started,,1,Appendix A-B1.F.1.pdf,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Appendices/A-B - As-Built Plans and Construction/Appendix A-B1/Appendix A-B1.F/Appendix A-B1.F.1/Appendix A-B1.F.1.pdf
