Doc_Number,Priority,Review_Status,Document_Type,Category,Appendix_Number,Filename,Subfolder,File_Type,Size_MB,Modified_Date,Closeout_Requirements_Found,Notes,Follow_Up_Required,Reviewer,Review_Date,Full_Path
875,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 176,C9015 CO 176 PLB Girder Paint Modification - signed.pdf,176_PLB Girder Paint Modification (Executed),.PDF,0.25,2024-09-13,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/176_PLB Girder Paint Modification (Executed)/Executed CO (Final Docs)/C9015 CO 176 PLB Girder Paint Modification - signed.pdf
876,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 177,C9015 CO 177 City Street Long Term Closures - signed.pdf,177_City Street Long Term Closure (Executed),.PDF,0.25,2024-10-09,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/177_City Street Long Term Closure (Executed)/Executed CO (Final Docs)/C9015 CO 177 City Street Long Term Closures - signed.pdf
877,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 178,C9015 CO 178 Multiple Issue Reso No. 8-2024 - signed.pdf,178_Multiple Issue Reso No. 8-2024,.PDF,0.2,2024-12-24,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/178_Multiple Issue Reso No. 8-2024/Executed CO (Final Docs)/C9015 CO 178 Multiple Issue Reso No. 8-2024 - signed.pdf
878,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 179,C9015 CO 179 Transit Canopy Paint Spec - signed.pdf,179_Transit Canopy Paint Spec (Executed),.PDF,0.27,2024-10-17,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/179_Transit Canopy Paint Spec (Executed)/Executed CO (Final Docs)/C9015 CO 179 Transit Canopy Paint Spec - signed.pdf
879,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 180,C9015 CO 180 Multiple Issue Reso No. 9-2024 - signed.pdf,180_Multiple Issue Reso No. 9-2024,.PDF,1.16,2025-04-15,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/180_Multiple Issue Reso No. 9-2024/Executed CO (Final Docs)/C9015 CO 180 Multiple Issue Reso No. 9-2024 - signed.pdf
881,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 182,C9015 CO 182 Sign Bridge 4 Modifications - signed.pdf,182_Sign Bridge No. 4 Modifications,.PDF,1.77,2025-02-21,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/182_Sign Bridge No. 4 Modifications/Executed CO (Final Docs)/C9015 CO 182 Sign Bridge 4 Modifications - signed.pdf
882,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 183,C9015 CO 183 VP Candidate Motorcade - signed.pdf,183_VP Candidate Motorcade,.PDF,0.2,2025-02-10,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/183_VP Candidate Motorcade/Executed CO (Final Docs)/C9015 CO 183 VP Candidate Motorcade - signed.pdf
883,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 184,C9015 CO 184 SRP Design Modifications - signed.pdf,184_SRP Design Modifications,.PDF,0.29,2025-03-11,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/184_SRP Design Modifications/Executed CO (Final Docs)/C9015 CO 184 SRP Design Modifications - signed.pdf
884,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 185,C9015 CO 185 Multiple Issue Reso No. 10-2025 - signed.pdf,185_Multiple Issue Reso No. 10-2025,.PDF,0.5,2025-05-08,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/185_Multiple Issue Reso No. 10-2025/Executed CO (Final Docs)/C9015 CO 185 Multiple Issue Reso No. 10-2025 - signed.pdf
885,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 186,C9015 CO 186 Multiple Issue Reso No. 11-2025 - signed.pdf,186_Multiple Issue Reso No. 11-2025,.PDF,0.5,2025-05-08,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/186_Multiple Issue Reso No. 11-2025/Executed CO (Final Docs)/C9015 CO 186 Multiple Issue Reso No. 11-2025 - signed.pdf
888,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 189,C9015 CO 189 Physical Completion Added CD - signed.pdf,189_Physical Completion Added CD,.PDF,0.47,2025-10-10,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/189_Physical Completion Added CD/Executed CO (Final Docs)/C9015 CO 189 Physical Completion Added CD - signed.pdf
880,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 181,C9015 CO181 POTUS Motorcade - signed.pdf,181_POTUS Motorcade,.PDF,0.22,2024-11-19,,Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/181_POTUS Motorcade/Executed CO (Final Docs)/C9015 CO181 POTUS Motorcade - signed.pdf
886,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 187,CO 187 - 187_SRP Over Ex. Swr. Mod - Const,187_SRP Over Ex. Swr. Mod - Const,MISSING,0.0,,,CO 187 - Folder exists but no signed/executed PDF found. Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/187_SRP Over Ex. Swr. Mod - Const
887,CRITICAL,Reviewed,Change Orders,1 - Change Orders,CO 188,CO 188 - 188_Multiple Issue Reso No. 12-2025,188_Multiple Issue Reso No. 12-2025,MISSING,0.0,,,CO 188 - Folder exists but no signed/executed PDF found. Manually reviewed for closeout requirements.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 176-200/188_Multiple Issue Reso No. 12-2025
3,CRITICAL,Not Started,Contract Documents,2 - Contract Form,,Executed Contract Form.pdf,,.PDF,3.38,2019-10-29,,May contain Exhibit B (WSDOT-Identified Betterments),,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Design-Build Contract/Executed Contract Form.pdf
1,CRITICAL,Reviewed,Contract Documents,4 - General Provisions (Ch 1),,Chapter 1.docx,,.DOCX,0.56,2023-04-27,,Reviewed - source of closeout requirements CSV. Contains incorporated COs 001-165.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Chapter 1.docx
2,CRITICAL,Reviewed,Contract Documents,6 - Technical Requirements (Ch 2),,Chapter Two.docx,,.DOCX,1.53,2025-04-29,,Reviewed - source of closeout requirements CSV. Contains incorporated COs 001-165.,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/120_RFP Conformed to COs/Chapter Two.docx
5,CRITICAL,Not Started,Contract Documents,8 - Design-Builder Proposal,Volume 2,VOLUME 2 OF 3 APPENDICES A B C GRAHAM SR 520 Montlake to Lake Washington IC and Bridge Replacement.pdf,,.PDF,54.13,2019-10-28,,"Contains Appendices A, B, C - EXHIBIT B (Betterments) is here",,,,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Contract Documents/Design-Builder's Proposal/PDF DB Proposal/VOLUME 2 OF 3 APPENDICES A B C GRAHAM SR 520 Montlake to Lake Washington IC and Bridge Replacement.pdf
819,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 120,C9015 C120 SPU PRS Pipe Conn - Const Only - signed.pdf,"120_SPU PRS Pipe Conn - Const Only (PCO 244, 253) (Executed)",.PDF,0.12,2021-12-01,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,"/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/120_SPU PRS Pipe Conn - Const Only (PCO 244, 253) (Executed)/Executed CO (Final Docs)/C9015 C120 SPU PRS Pipe Conn - Const Only - signed.pdf"
799,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 100,C9015 CO 100 ML Plaza Maintenance Access - signed.pdf,100_ML Plaza Maintenance Access (PCO 179) (Executed),.PDF,1.5,2021-07-26,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 076-100/100_ML Plaza Maintenance Access (PCO 179) (Executed)/Executed CO (Final Docs)/C9015 CO 100 ML Plaza Maintenance Access - signed.pdf
800,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 101,C9015 CO 101 Maint. Veh. Turnaround on RSUP - signed.pdf,101_Maint Veh Turnaround on RSUP (PCO 197) (Executed),.PDF,0.14,2021-08-24,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/101_Maint Veh Turnaround on RSUP (PCO 197) (Executed)/Executed CO (Final Docs)/C9015 CO 101 Maint. Veh. Turnaround on RSUP - signed.pdf
801,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 102,C9015 CO 102 Maint Path Pavement Sect Mods - signed.pdf,102_Pavement Section on Maint Path (PCO 198) (Executed),.PDF,0.69,2021-12-17,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/102_Pavement Section on Maint Path (PCO 198) (Executed)/Executed CO (Final Docs)/C9015 CO 102 Maint Path Pavement Sect Mods - signed.pdf
802,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 103,C9015 CO 103 Dowels in SW's at Lid Edges - signed.pdf,103_Dowels in SW's at Lid Edges (PCO 207) (Executed),.PDF,0.7,2021-09-14,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/103_Dowels in SW's at Lid Edges (PCO 207) (Executed)/Executed CO (Final Docs)/C9015 CO 103 Dowels in SW's at Lid Edges - signed.pdf
803,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 104,C9015 CO 104 COVID - Sanitation Extension - signed.pdf,104_COVID - Sanitation Extension (PCO 236) (Executed),.PDF,0.15,2021-10-19,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/104_COVID - Sanitation Extension (PCO 236) (Executed)/Executed CO (Final Docs)/C9015 CO 104 COVID - Sanitation Extension - signed.pdf
804,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 105,C9015 CO 105 Peninsula Gate Requirements_signed.pdf,105_Peninsula Gate Requirements (PCO 109) (Executed),.PDF,0.13,2021-07-12,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/105_Peninsula Gate Requirements (PCO 109) (Executed)/Executed CO (Final Docs)/C9015 CO 105 Peninsula Gate Requirements_signed.pdf
805,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 106,C9015 CO 106 Brdg Drg Pipe Paint Mods - signed.pdf,106_Elim Brdg Drg Pipe Paint Rqmt (PCO 138) (Executed),.PDF,0.12,2021-08-24,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/106_Elim Brdg Drg Pipe Paint Rqmt (PCO 138) (Executed)/Executed CO (Final Docs)/C9015 CO 106 Brdg Drg Pipe Paint Mods - signed.pdf
807,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 108,C9015 CO 108_Seattle Design Comm Workshop - signed.pdf,108_Seattle Design Comm Workshop (PCO 209) (Executed),.PDF,0.13,2021-08-02,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/108_Seattle Design Comm Workshop (PCO 209) (Executed)/Executed CO (Final Docs)/C9015 CO 108_Seattle Design Comm Workshop - signed.pdf
808,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 109,C9015 CO 109 Fut Ramp Meter Eqpt for PBB - signed.pdf,109_Fdn & Conduit for Fut PBB Ramp (PCO 211) (Executed),.PDF,0.89,2021-08-24,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/109_Fdn & Conduit for Fut PBB Ramp (PCO 211) (Executed)/Executed CO (Final Docs)/C9015 CO 109 Fut Ramp Meter Eqpt for PBB - signed.pdf
809,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 110,C9015 CO 110 Temp DWXI On-Ramp at NOAA Prop - signed.pdf,110_Temp DWXI On-Ramp at NOAA Prop (PCO 215) (Executed),.PDF,0.14,2021-07-28,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/110_Temp DWXI On-Ramp at NOAA Prop (PCO 215) (Executed)/Executed CO (Final Docs)/C9015 CO 110 Temp DWXI On-Ramp at NOAA Prop - signed.pdf
810,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 111,C9015 CO 111 SPU 54-inch TM Shutdown Mods. - signed.pdf,111_SPU 54-inch TM Shutdown Mods (PCO 212) (Executed),.PDF,0.33,2021-08-24,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/111_SPU 54-inch TM Shutdown Mods (PCO 212) (Executed)/Executed CO (Final Docs)/C9015 CO 111 SPU 54-inch TM Shutdown Mods. - signed.pdf
811,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 112,C9015 CO 112 SDOT Chan Changes on E ML Pl E - signed.pdf,112_SDOT Chan Changes on E ML PL E (PCO 239) (Executed),.PDF,0.96,2021-10-19,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/112_SDOT Chan Changes on E ML PL E (PCO 239) (Executed)/Executed CO (Final Docs)/C9015 CO 112 SDOT Chan Changes on E ML Pl E - signed.pdf
812,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 113,C9015 CO 113 SPU PRS Pipe Conn - Design Only - signed.pdf,113_SPU PRV Conn - Design Only (PCO 173) (Executed),.PDF,0.13,2021-10-27,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/113_SPU PRV Conn - Design Only (PCO 173) (Executed)/Executed CO (Final Docs)/C9015 CO 113 SPU PRS Pipe Conn - Design Only - signed.pdf
813,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 114,C9015 CO 114 Add'l Interpretive Signage - signed.pdf,114_Add'l Interpretive Signage (PCO 229) (Executed),.PDF,0.11,2021-11-11,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/114_Add'l Interpretive Signage (PCO 229) (Executed)/Executed CO (Final Docs)/C9015 CO 114 Add'l Interpretive Signage - signed.pdf
814,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 115,C9015 CO 115 Elimination of CO 95 Work - signed.pdf,115_Elimination of CO 95 Work (PCO 247) (Executed),.PDF,0.13,2021-10-19,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/115_Elimination of CO 95 Work (PCO 247) (Executed)/Executed CO (Final Docs)/C9015 CO 115 Elimination of CO 95 Work - signed.pdf
815,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 116,C9015 CO 116 CenturyLink Reloc Agreement - signed.pdf,116_Centurylink Agreement (PCO 243) (Executed),.PDF,0.78,2022-04-01,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/116_Centurylink Agreement (PCO 243) (Executed)/Executed CO (Final Docs)/C9015 CO 116 CenturyLink Reloc Agreement - signed.pdf
816,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 117,C9015 CO 117 Lane Closure Modifications - signed.pdf,117_Lane Closure Modifications (PCO 249) (Executed),.PDF,0.13,2021-10-19,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/117_Lane Closure Modifications (PCO 249) (Executed)/Executed CO (Final Docs)/C9015 CO 117 Lane Closure Modifications - signed.pdf
817,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 118,C9015 CO 118 FA Montlake Market Remediation - signed.pdf,118_FA Montlake Market Remediation (PCO 225) (Executed),.PDF,0.34,2022-01-04,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/118_FA Montlake Market Remediation (PCO 225) (Executed)/Executed CO (Final Docs)/C9015 CO 118 FA Montlake Market Remediation - signed.pdf
818,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 119,C9015 CO 119 NWR - SR 513 Comm & Htl Offers - signed.pdf,119_NWR - SR 513 Comm & Htl Offers (PCO 246) (Executed),.PDF,0.14,2021-12-13,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/119_NWR - SR 513 Comm & Htl Offers (PCO 246) (Executed)/Executed CO (Final Docs)/C9015 CO 119 NWR - SR 513 Comm & Htl Offers - signed.pdf
820,HIGH,Reviewed,Change Orders,1 - Change Orders,CO 121,C9015 CO 121 Pier 3 Core-Test Reimbursement - signed.pdf,121_Pier 3 Core-Test Reimbursement (PCO 240) (Executed),.PDF,0.1,2021-11-11,,Incorporated into RFP Ch 1 & 2 (reviewed).,,Team,2025-10-18,/Users/z/Library/CloudStorage/OneDrive-WashingtonStateDepartmentofTransportation/TheBRIDGE - Montlake - Change Management  Documents/050_Change Orders/Change Orders 101-125/121_Pier 3 Core-Test Reimbursement (PCO 240) (Executed)/Executed CO (Final Docs)/C9015 CO 121 Pier 3 Core-Test Reimbursement - signed.pdf
